PURCHASED_DEVICE,DEVICE_VALUE,LAST_DEVICE_CHANGE,DATA_TRAFFIC_MONTH_1,DATA_TRAFFIC_MONTH_2,DATA_TRAFFIC_MONTH_3,DATA_TRAFFIC_MONTH_4,DATA_TRAFFIC_MONTH_5,DATA_TRAFFIC_MONTH_6,VOICE_TRAFFIC_MONTH_1,VOICE_TRAFFIC_MONTH_2,VOICE_TRAFFIC_MONTH_3,VOICE_TRAFFIC_MONTH_4,VOICE_TRAFFIC_MONTH_5,VOICE_TRAFFIC_MONTH_6,BILLING_MONTH_1,BILLING_MONTH_2,BILLING_MONTH_3,BILLING_MONTH_4,BILLING_MONTH_5,BILLING_MONTH_6,DEVICE_COST_MONTH_1,DEVICE_COST_MONTH_2,DEVICE_COST_MONTH_3,DEVICE_COST_MONTH_4,DEVICE_COST_MONTH_5,DEVICE_COST_MONTH_6,LINE_ACTIVATION_DATE,MONTHS_LAST_DEVICE,DURATION_LINE,PREVIOUS_DEVICE_MODEL,PREVIOUS_DEVICE_MANUF,PREVIOUS_DEVICE_BRAND
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,321.0,20170601,,,,,,,,,,,,,30.99,30.99,30.99,30.99,30.99,30.99,0.0,0.0,0.0,0.0,0.0,0.0,,23,,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,321.0,20170601,4.1774607,4.1774607,1.8896484,8.7587891,0.0,0.0,12.3,12.3,8.1000004,18.6,0.0,0.0,103.14,103.14,103.14,103.14,103.14,103.1,0.0,0.0,0.0,0.0,0.0,0.0,20170619,21,21,Samsung Galaxy J1 Mini,Samsung Korea,Samsung
TGSA32062000_SAMSUNG J415G SMART PRETO PPB/PI107/04,921.0,,0.0,0.0,0.0,0.0,0.0,0.0,171.3,203.60001,203.60001,307.0,249.8,264.89999,113.85,114.83,125.01,170.38,145.04,154.83,0.0,0.0,0.0,0.0,0.0,0.0,20100806,,100,MC55i,Gemalto M2M GmbH,Outros
TGAL03462000_ALCATEL 5033J SMART PRETO,201.0,20170801,3598.147,1620.7954,1620.7954,3128.4084,2986.1069,2701.4102,44.900002,34.5,34.5,128.2,74.400002,23.200001,47.739999999999995,47.370000000000005,50.31999999999999,44.040000000000006,48.260000000000005,46.09,32.0,32.0,32.0,32.0,32.0,32.0,20151021,16,38,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,255.0,,,,,,,,,,,,,,102.99,102.99,102.99,124.39,99.99,99.99,0.0,0.0,0.0,0.0,0.0,0.0,20160203,,34,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,255.0,,9.765625E-4,236.75821,236.75821,,3.2220697,,0.0,0.0,0.0,,0.0,,110.99,110.99,110.99,110.49,107.99,107.99,0.0,0.0,0.0,0.0,0.0,0.0,20140512,,55,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,255.0,,4550.7959,4297.5186,4297.5186,5398.4575,2456.8081,5073.48,325.70001,0.0,0.0,0.0,0.0,0.0,107.14,407.18,105.35,105.28,102.23,102.23,0.0,0.0,0.0,0.0,0.0,0.0,20140512,,55,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,255.0,,2842.2979,850.08881,850.08881,1535.6271,962.11493,801.6405,50.0,0.0,0.0,0.0,0.0,0.0,141.56,105.35,105.35,104.73,102.23,102.23,0.0,0.0,0.0,0.0,0.0,0.0,20140512,,55,,,
DGAP067C2000_APPLE IPHONE 8 64GB CINZA PPB/PI643/10,3081.0,20170901,990.27838,1011.097,1011.097,1025.9695,2778.3501,1822.9507,102.9,49.5,49.5,136.39999,81.099998,172.7,63.94999999999999,62.99000000000001,62.99000000000001,62.99000000000001,60.99000000000001,60.99000000000001,124.0,124.0,124.0,124.0,124.0,124.0,20141230,15,48,iPhone 6S,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,20171001,109.83098,25.115547,25.115547,25.355312,17.540585,19.921484,64.900002,198.2,198.2,123.7,131.5,104.8,71.86000000000001,80.53999999999999,78.91999999999999,87.9,87.57,68.69,125.0,125.0,125.0,125.0,125.0,125.0,20160415,14,32,iPhone 4S,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,20160401,39.759689,17.796171,17.796171,17.234024,13.530273,12.139648,155.0,133.8,133.8,41.700001,74.900002,46.400002,65.84,68.24,65.76,76.24,68.45,66.07,0.0,0.0,0.0,0.0,0.0,0.0,20160415,32,32,iPhone 4S,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20171001,4485.5493,2863.4905,2863.4905,2289.3567,1963.7948,2108.5837,360.10001,298.70001,298.70001,278.0,395.89999,322.89999,132.06,123.68,116.93,118.18,107.69,111.00999999999999,104.0,104.0,104.0,104.0,104.0,104.0,20150613,14,42,Asus ZenFone 2,ASUSTek Computer Inc,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20170901,6566.3037,4594.5195,4594.5195,2257.1084,4465.7446,2471.75,126.0,178.7,178.7,125.6,116.2,158.3,101.0,104.39,101.67,101.62,98.95,127.16,0.0,0.0,0.0,0.0,0.0,0.0,20170912,15,15,LG Novo K10,LG Electronics Inc.,LG
TGSA32564007_SAMSUNG J260M SMART PRETO  PPB/PI324/14,633.0,20160801,4.528594,464.08774,695.09595,223.3302,223.3302,247.85382,298.0,242.10001,210.2,272.60001,272.60001,179.5,69.89,69.89,69.89,69.89,45.89,45.59,0.0,0.0,0.0,0.0,0.0,15.0,20080627,30,128,Samsung Galaxy J1 Mini,Samsung Korea,Samsung
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,321.0,20170601,0.0,0.0,0.0,0.0,,,92.400002,92.400002,103.4,189.10001,,,103.14,103.14,103.14,103.14,103.14,103.1,0.0,0.0,0.0,0.0,0.0,0.0,20170619,21,21,Nokia C2-01,Nokia Corporation,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20170801,13129.476,14187.294,14187.294,8863.2832,9229.6406,10345.932,245.5,0.0,0.0,0.0,0.0,0.0,89.99000000000001,89.99000000000001,89.99000000000001,89.99000000000001,89.99000000000001,89.99000000000001,163.0,163.0,163.0,163.0,163.0,163.0,20150724,16,41,ASUS_X00ID,ASUSTek Computer Inc,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20170801,,,,,,,,,,,,,89.99000000000001,89.99000000000001,89.99000000000001,89.99000000000001,89.99000000000001,89.99000000000001,163.0,163.0,163.0,163.0,163.0,163.0,20150724,16,41,Alcatel Pixi 4 3.5,TCL Communication Ltd,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,20170701,3901.0603,2646.6267,2646.6267,1239.4968,1124.4424,662.10663,66.400002,93.099998,93.099998,29.700001,26.700001,75.5,45.22,42.0,42.0,41.989999999999995,40.99,40.99,23.0,23.0,23.0,23.0,23.0,23.0,20110506,17,91,Samsung Galaxy J1 2016,Samsung Korea,Samsung
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20170801,19393.766,7179.4473,7179.4473,11775.918,9014.667,11248.462,183.60001,0.0,0.0,0.0,0.0,0.0,129.14,129.71,129.1,129.11,125.99,125.99,0.0,0.0,0.0,0.0,0.0,0.0,20170824,16,16,iPhone 7,Apple Inc,Apple
DGAP08163000_APPLE IPHONE XR 64GB PRETO,3705.0,20170801,5299.3506,3154.5264,3154.5264,3621.6301,3207.3867,3275.4487,252.5,0.0,0.0,0.0,0.0,0.0,104.84,104.84,104.8,104.15,101.99,101.99,12.0,12.0,12.0,12.0,12.0,12.0,20170824,16,16,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20170801,7485.4121,3674.6914,3674.6914,2846.3616,2377.9255,4745.2471,1136.1,0.0,0.0,0.0,0.0,0.0,104.84,104.84,104.8,104.15,101.99,101.99,12.0,12.0,12.0,12.0,12.0,12.0,20170824,16,16,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20170801,14919.918,14231.179,14231.179,12867.706,8650.0088,7073.6479,583.40002,0.0,0.0,0.0,0.0,0.0,129.14,129.14,129.1,128.45,125.99,125.99,0.0,0.0,0.0,0.0,0.0,0.0,20170824,16,16,iPhone 7 Plus,Apple Inc,Apple
TGMO36012000_MOTOROLA XT1925 SMARTPHONE INDIGO,681.0,20170801,12846.086,15980.873,15980.873,12406.812,8562.7988,14368.188,98.099998,147.60001,147.60001,86.699997,71.099998,90.0,128.3,128.69,125.8,126.43,126.64,126.15,0.0,0.0,0.0,0.0,0.0,0.0,20170830,16,16,,,
TGSA32162007_SAMSUNG J610G SMART PRETO PPB/PI107/04,705.0,20141001,8396.9346,9907.5313,9907.5313,5994.021,6872.6055,5246.0039,153.0,129.5,129.5,118.3,115.5,59.799999,240.04,157.26,150.62,155.73,146.95,151.94,0.0,0.0,71.0,71.0,71.0,71.0,19980727,50,245,Samsung Galaxy S4 Mini,Samsung Korea,Samsung
TGSA32062000_SAMSUNG J415G SMART PRETO PPB/PI107/04,681.0,20150201,0.0,0.0,0.0,0.0,0.0,0.0,330.70001,181.0,181.0,148.7,56.599998,76.800003,35.56,82.53,42.46,35.37,34.45,33.99,0.0,0.0,0.0,0.0,0.0,0.0,20090226,46,118,,,
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,897.0,20161001,2958.7717,16.70336,16.70336,15.678672,31.404882,9.7987108,75.400002,21.4,21.4,5.0999999,6.5,0.5,77.67,71.95,64.96,64.59,63.59,63.59,0.0,0.0,15.0,15.0,15.0,15.0,20161006,26,26,,,
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,897.0,20161001,7241.9224,16457.018,16457.018,15595.364,10731.16,11677.188,152.8,134.10001,134.10001,153.2,84.599998,94.599998,88.79,74.76,68.85,79.67,71.85,75.83,0.0,0.0,15.0,15.0,15.0,15.0,20161006,26,26,,,
DGAP068C2000_APPLE IPHONE 8 256GB CINZA PPB/PI643/10,3801.0,20190201,3119.1423,1747.423,1747.423,1864.1172,1647.2505,1315.0476,190.10001,101.1,101.1,216.7,212.60001,128.8,137.96,137.96,138.22000000000003,137.58999999999997,134.58999999999997,134.58999999999997,0.0,0.0,183.0,183.0,183.0,183.0,20161006,-2,26,,,
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,537.0,20161001,0.0,,,,399.64914,74.253281,0.5,,,,0.0,4.5,91.44,64.96,64.96,64.59,63.959999999999994,71.99,0.0,0.0,15.0,15.0,15.0,15.0,20161006,26,26,Alcatel Pixi 4 3.5,TCL Communication Ltd,Outros
DGAP068C2000_APPLE IPHONE 8 256GB CINZA PPB/PI643/10,3681.0,20161001,3916.9045,2703.3223,2703.3223,1860.9038,3112.7732,2625.4236,160.89999,179.7,179.7,123.6,243.5,214.8,232.77,298.8,241.39999999999998,241.70999999999998,260.61,192.83999999999997,0.0,0.0,183.0,183.0,183.0,183.0,20161006,26,26,iPhone 6S,Apple Inc,Apple
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,537.0,20161001,11977.218,9329.9531,9329.9531,5736.6143,4932.395,7125.7266,62.0,103.1,103.1,104.6,104.6,122.4,77.25,89.1,80.21,72.59,63.59,81.33,0.0,0.0,15.0,15.0,15.0,15.0,20161006,26,26,iPhone 4S,Apple Inc,Apple
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,537.0,20161001,,,,,,,,,,,,,100.96,100.96,100.96000000000001,100.59,98.59,98.59,0.0,0.0,93.0,93.0,93.0,93.0,20161006,26,26,Alcatel Pixi 4 3.5,TCL Communication Ltd,Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,537.0,20161001,7.3457031,6.4628906,6.4628906,9.8339844,9.2802734,10.751953,0.5,11.0,11.0,0.0,8.6999998,89.0,100.96,100.96,100.96000000000001,100.59,98.59,98.59,0.0,0.0,93.0,93.0,93.0,93.0,20161006,26,26,iPhone 5S,Apple Inc,Apple
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,537.0,20161001,5673.3198,542.52686,542.52686,647.13495,451.23285,661.00037,86.0,85.900002,85.900002,38.5,92.900002,81.0,66.38,76.81,68.55,78.07,63.59,63.59,0.0,0.0,15.0,15.0,15.0,15.0,20161006,26,26,Moto G (3ª Geração),"Motorola Mobility LLC, a Lenovo Company",Motorola
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,537.0,20161001,2.9414063,33.444725,33.444725,16877.705,14766.887,11803.95,0.0,0.0,0.0,78.300003,165.7,123.6,100.96,100.96,100.96000000000001,100.59,98.59,109.87,0.0,0.0,82.0,82.0,82.0,82.0,20161006,26,26,Alcatel Pixi 4 3.5,TCL Communication Ltd,Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,537.0,20161001,8084.98,4640.9946,4640.9946,8816.1689,12666.83,3398.3101,0.0,0.0,0.0,0.0,0.0,0.0,84.92,89.91,100.88,100.51,99.51,108.49,0.0,0.0,15.0,15.0,15.0,15.0,20161006,26,26,Alcatel Pixi 4 3.5,TCL Communication Ltd,Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,897.0,20161001,171.42398,649.29889,649.29889,,,,0.0,0.5,0.5,,,,64.96,64.96,64.96,64.59,63.59,63.59,0.0,0.0,15.0,15.0,15.0,15.0,20161006,26,26,Alcatel Pixi 4 3.5,TCL Communication Ltd,Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,897.0,20161001,0.47167969,6184.7456,6184.7456,,,,0.0,0.0,0.0,,,,64.96,64.96,64.96,64.59,63.59,63.59,0.0,0.0,15.0,15.0,15.0,15.0,20161006,26,26,"MF831,830FT,ZM8620,Megafon M100-3,MF253L",ZTE Corporation,Outros
TGLG29462000_LG X410BCW SMARTPHONE PRETO PPB/P1769/07,897.0,20161001,,,,,,,,,,,,,64.96,64.96,64.96,64.59,63.59,63.59,0.0,0.0,15.0,15.0,15.0,15.0,20161006,26,26,Alcatel Pixi 4 3.5,TCL Communication Ltd,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,20171201,34.955666,1.6982422,1.6982422,4.3502731,2.8310547,27.044727,121.9,106.8,106.8,131.2,73.599998,119.8,87.84,114.28999999999999,96.88,102.91999999999999,84.19,108.9,16.6,16.6,16.6,16.6,16.6,16.6,20130330,12,69,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,20171201,106.53735,2.1289063,2.1289063,3.2548828,15.743516,2.4941406,175.0,191.2,191.2,125.6,118.4,174.60001,108.05000000000001,119.78,141.8,116.08000000000001,123.34,136.71,16.6,16.6,16.6,16.6,16.6,16.6,20130330,12,69,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,20170701,,280.9877,280.9877,141.13715,1.0200005,,,0.0,0.0,18.4,0.0,,47.0,48.27,47.0,63.49,45.99,45.99,0.0,0.0,0.0,0.0,0.0,0.0,20170724,17,17,Xiaomi Redmi 2,Xiaomi Communications Co Ltd,Outros
DGAP067C2007_APPLE IPHONE 8 64GB CINZA  PPB/PI643/10,2841.0,20170901,1017.507,1079.2621,1079.2621,1178.9795,1192.9675,1070.2297,303.20001,203.0,203.0,298.60001,284.5,132.7,148.99,174.65,186.69,186.94,182.16,188.75,7.0,7.0,7.0,7.0,7.0,7.0,20000722,15,221,Moto G,"Motorola Mobility LLC, a Lenovo Company",Motorola
DGAP067C2007_APPLE IPHONE 8 64GB CINZA  PPB/PI643/10,2961.0,20170901,257.38675,604.08844,604.08844,1394.2441,102.59875,107.84,117.3,124.4,124.4,112.8,133.39999,79.800003,134.99,101.58,86.97,80.32,74.99,74.99,7.0,7.0,7.0,7.0,7.0,7.0,20071212,15,132,Alcatel U3,TCL Communication Ltd,Outros
TGMO35912000_MOTOROLA XT1922 SMARTPHONE INDIGO,513.0,20170901,11147.741,10743.111,10743.111,9972.5811,11950.166,5187.5098,11.1,63.900002,63.900002,25.9,8.5,15.2,134.99,90.25,77.0,77.13,74.99,74.99,7.0,7.0,7.0,7.0,7.0,7.0,20140530,15,55,iPhone 5S,Apple Inc,Apple
TGMO35912000_MOTOROLA XT1922 SMARTPHONE INDIGO,633.0,20170901,1209.3209,1746.9351,1746.9351,3789.1528,1580.249,1349.892,16.0,114.2,114.2,15.9,3.7,12.2,114.99,84.82,77.0,80.68,74.99,74.99,7.0,7.0,7.0,7.0,7.0,7.0,20140530,15,55,iPhone 5S,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,20150601,6118.8975,1503.074,1503.074,886.789,644.901,808.7876,84.699997,97.699997,97.699997,34.299999,65.300003,78.599998,81.66,73.46,104.26,88.59,130.09,101.18,0.0,0.0,0.0,0.0,0.0,0.0,20090128,42,119,,,
TGSA31562000_SAMSUNG J810M SMART PRETO PPB/PI107/04,1545.0,20140101,2047.2554,1597.9875,1597.9875,1501.049,843.06305,1631.0665,74.400002,60.0,60.0,90.699997,79.900002,92.900002,189.3,189.63,189.3,189.26,183.99,183.99,0.0,0.0,0.0,0.0,0.0,0.0,20040909,59,171,Samsung Galaxy J7,Samsung Korea,Samsung
TGSA31362000_SAMSUNG J400M SMART PRETO PPB/PI107/04,873.0,20140101,4185.3203,2036.5742,2036.5742,424.26801,2934.9211,2847.6099,61.0,117.9,117.9,24.299999,110.3,117.9,116.42,115.99,115.99,155.94,121.25,112.99,0.0,0.0,0.0,0.0,0.0,0.0,20110806,59,88,iPhone SE,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,20140101,1587.1204,1026.5239,1026.5239,836.30103,627.44171,1091.8973,64.699997,128.3,128.3,171.39999,156.2,279.60001,115.99,115.99,120.17,121.44,116.19,117.35,0.0,0.0,0.0,0.0,0.0,0.0,20110806,59,88,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20190201,0.0,,,,,,3.3,,,,,,130.99,130.99,130.95,130.95,127.99000000000001,127.99000000000001,20.0,20.0,20.0,20.0,20.0,20.0,20100416,-2,104,LG L30 Dual,LG Electronics Inc.,LG
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,20190201,1309.0951,2134.9224,2134.9224,584.21246,0.0,22.046406,29.799999,23.5,23.5,73.300003,20.1,17.1,83.99,83.99,102.23,83.95,81.99,156.56,0.0,0.0,0.0,0.0,0.0,0.0,20131106,-2,61,,,
DGAP08163000_APPLE IPHONE XR 64GB PRETO,3825.0,20190201,195.55206,16.010664,16.010664,100.37188,131.07477,144.05656,10.3,0.0,0.0,50.700001,91.800003,67.599998,198.0,143.36,105.95,260.32,219.55,155.59,0.0,0.0,0.0,0.0,0.0,0.0,20120904,-2,75,LG L30 Dual,LG Electronics Inc.,LG
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,20151001,,,,,,,,,,,,,237.99,237.99,237.99,142.19,21.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20151027,38,38,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,20151001,2775.7896,1937.2559,1937.2559,2163.7227,1464.4031,2218.6038,31.4,26.700001,26.700001,73.099998,28.200001,33.900002,20.0,25.47999999999999,20.0,20.0,23.629999999999995,20.0,116.37,116.37,116.37,116.37,116.37,116.37,20020228,38,202,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,20151001,4517.5039,7401.8691,7401.8691,7658.9502,6376.5918,7530.3618,36.700001,99.400002,99.400002,47.900002,33.700001,13.2,146.99,146.99,161.18,146.99,146.52999999999997,142.99,116.37,116.37,116.37,116.37,116.37,116.37,20020228,38,202,Microsoft Lumia 435,Microsoft Mobile Oy,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,20151001,,,,,,,,,,,,,237.99,237.99,237.99,142.19,21.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20151027,38,38,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,20180401,237.73042,0.0,0.0,0.0,0.0,0.0,101.5,154.39999,154.39999,95.5,195.60001,156.89999,127.36000000000001,117.4,87.15,77.38,97.51,87.54,18.0,18.0,18.0,18.0,18.0,18.0,20091111,8,109,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20171201,3592.353,1781.6986,1781.6986,1693.0978,3816.2708,1619.0664,477.0,0.0,0.0,0.0,0.0,0.0,118.14,129.82,118.14,123.18,114.99,136.95,0.0,0.0,0.0,0.0,0.0,0.0,20171212,12,12,iPhone 6S,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20170101,11742.732,1991.3694,1991.3694,3542.9717,2038.9905,3920.717,264.39999,0.0,0.0,0.0,0.0,0.0,145.14,145.14,145.14,144.49,146.18,162.74,13.0,13.0,13.0,13.0,13.0,13.0,20091120,23,109,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,585.0,,6081.2324,3190.604,3190.604,4932.8301,4986.6299,5686.5884,243.10001,0.0,0.0,0.0,0.0,0.0,79.21,72.99,72.99,72.49,69.99,69.99,0.0,0.0,0.0,0.0,0.0,0.0,20171213,,12,iPhone 7,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,,20170701,,,,,,,,,,,,,34.99,34.99,34.99,34.99,33.99,33.99,0.0,0.0,0.0,0.0,0.0,0.0,20170728,17,17,Samsung Galaxy Gran Prime 2016,Samsung Korea,Samsung
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,,20170301,,0.0,0.0,0.0,0.0,0.0,,779.79999,779.79999,1.8,0.0,52.200001,30.99,31.2,40.68,32.26,29.99,29.99,0.0,0.0,0.0,0.0,0.0,0.0,20170315,21,21,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,,,0.0,0.0,0.0,0.0,0.0,0.0,860.29999,1804.9,1804.9,30.9,3.0999999,350.60001,90.78,99.65,193.07,31.09,29.99,69.19,0.0,0.0,0.0,0.0,0.0,0.0,20170315,,21,,,
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,,49015.566,36227.973,36227.973,28456.604,15868.383,18650.977,112.0,0.0,0.0,0.0,0.0,0.0,236.97,236.49,236.49,236.49,232.49,232.49,0.0,0.0,0.0,0.0,0.0,0.0,20150513,,43,,,
